Employer,Doing Business As,Account Status,Date Enrolled,Date Terminated,Workforce Size,Number of Hiring Sites,Hiring Site Locations (by state),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Golden Leaf Energy, Inc.","Golden Leaf Energy, Inc.",Open,10/17/2012,,10 to 19,1,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Golden Triangle Energy, LLC",,Open,7/11/2014,,20 to 99,1,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good Life Energy Savers LLC,,Open,2/6/2010,,5 to 9,1,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP Energy Management LLC,,Open,5/9/2019,,20 to 99,1,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP Energy Management LLC,,Open,11/15/2017,,20 to 99,1,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR Energy Services Management LLC,,Open,1/12/2021,,"1,000 to 2,499",12,CO, LA, ND, OK, PA, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR Energy Services Management LLC,,Terminated,6/21/2017,11/28/2021,10 to 19,2,PA, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grace Energy Corp.,,Terminated,5/26/2010,4/14/2021,100 to 499,41,AR, KS, MO, OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gradiant Energy Services,,Terminated,6/29/2017,3/17/2020,20 to 99,3,CO, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gradiant Energy Services Inc,,Open,2/18/2020,,20 to 99,3,CO, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graham Consulting Inc.,Advanced Lighting & Energy Solutions,Open,11/7/2011,,10 to 19,1,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grand Energy, Inc.",,Open,9/30/2009,,10 to 19,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granite Falls Energy,,Open,9/9/2020,,20 to 99,1,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grays Harbor Energy LLC,,Open,8/11/2016,,20 to 99,2,IL, WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Lakes Renewable Energy Inc,,Open,9/17/2010,,10 to 19,1,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great River Energy,,Open,9/10/2020,,500 to 999,22,MN, ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great River Energy,,Open,12/22/2014,,500 to 999,5,MN, ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Affordable Energy LLC,,Open,11/18/2022,,5 to 9,1,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green and Hansen LLC dba Legacy Energy Services,Legacy Energy Services,Open,6/5/2020,,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREEN ENERGY BIOFUEL,,Open,1/16/2012,,20 to 99,2,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Energy Construction & Consulting,,Open,9/11/2014,,5 to 9,2,NJ, PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Energy Contracting LLC,,Terminated,7/18/2012,7/9/2016,20 to 99,2,AL, FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Energy Contractors LLC,,Open,12/8/2015,,20 to 99,1,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Energy Corp,,Open,1/22/2016,,5 to 9,2,NC, OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Energy Fuel Products LLC,Green Energy Fuel Products LLC,Open,7/19/2022,,5 to 9,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Green Energy Harvesting, Venture I, LLC",,Open,7/21/2014,,10 to 19,1,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GREEN ENERGY MECHANICAL, INC.","GREEN ENERGY MECHANICAL, INC.",Open,6/22/2016,,10 to 19,1,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Green Energy Technology Labs, Inc.",,Open,4/11/2016,,5 to 9,2,FL, NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Green Energy Transport, LLC",,Open,3/8/2021,,10 to 19,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Green Energy, Inc dba Heliocol",,Open,4/8/2010,,20 to 99,1,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Green Energy, Inc.",,Terminated,4/11/2008,4/12/2010,20 to 99,2,AZ, NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Green Field Energy Group, Inc.",,Open,4/28/2016,,5 to 9,1,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Hybrid Energy Solutions Inc.,,Open,7/16/2013,,5 to 9,1,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Light New York Inc.,Building Energy Exchange,Open,7/20/2022,,10 to 19,1,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Green Plains Renewable Energy, Inc.",,Terminated,3/30/2010,10/23/2012,100 to 499,1,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Green Power Energy, LLC",,Open,3/18/2021,,20 to 99,1,NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Green Star Energy Solutions, LLC",,Terminated,12/19/2018,2/12/2020,20 to 99,1,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Green Star Energy Solutions, LLC","Green Star Energy Solutions, LLC",Open,8/23/2018,,20 to 99,1,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Stone Energy,,Open,9/4/2015,,10 to 19,1,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Green Tek Energy USA, Inc.",,Open,4/22/2009,,5 to 9,1,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREEN WATER ENERGY LLC,,Open,12/23/2014,,5 to 9,2,ID, WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Water Energy LLC,,Open,11/11/2015,,10 to 19,1,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Wolf Energy Inc,,Open,10/26/2017,,10 to 19,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenergy,,Open,1/28/2019,,5 to 9,1,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenergy Electric LLC,,Open,2/15/2012,,5 to 9,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenes Energy Group LLC,,Terminated,12/23/2014,7/23/2020,100 to 499,37,AL, AR, CO, KS, LA, MS, NC, ND, NM, OH, OK, PA, TX, WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenes Energy Group LLC,Greenes Energy Group,Open,6/30/2020,,100 to 499,7,LA, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenes Energy Services Inc.,,Open,2/1/2019,,20 to 99,2,UT, WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Greenes Energy Services, Inc.",,Open,4/28/2021,,20 to 99,1,WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GreenLancer Energy, Inc",GreenLancer,Open,2/28/2023,,20 to 99,1,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenlight Energy Inc,,Open,1/23/2018,,10 to 19,1,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Greens Energy Services, Inc.","Greens Energy Services, Inc.",Open,2/12/2021,,20 to 99,1,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenshine New Energy,Greenshine New Energy,Open,1/20/2021,,5 to 9,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenskies Clean Energy LLC,,Open,3/8/2021,,20 to 99,1,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenskies Renewable Energy LLC,,Open,1/9/2018,,20 to 99,1,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greensmith Energy Management Systems Inc.,,Open,3/31/2017,,20 to 99,2,CA, VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Greensmith Energy Management Systems, Inc.",,Open,10/20/2014,,20 to 99,2,CA, MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenspeed Energy Solutions,,Open,4/27/2010,,5 to 9,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GreenTech Energy Services, Inc.",,Open,1/21/2010,,20 to 99,2,CA, NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greentek Energy Systems,Greentek Energy Systems,Open,2/20/2018,,10 to 19,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenville Energy And Research Inc,,Open,3/14/2012,,5 to 9,1,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenville Renewable Energy Education Charter School,GREEN Charter School,Open,6/7/2013,,20 to 99,1,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenwell Energy Solutions,,Open,5/10/2017,,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenwich Energy Solutions LLC,,Open,11/24/2014,,5 to 9,1,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenwood Energy I LLC,,Open,7/23/2012,,20 to 99,1,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Greenwood Energy Solutions, LLC",Smart Power Services,Open,11/21/2011,,5 to 9,1,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gridspan Energy LLC,,Open,10/22/2018,,5 to 9,1,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Griffith Energy Services, Inc",Griffith Energy,Terminated,5/20/2014,5/30/2014,100 to 499,6,MD, VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Griffith Energy Services, Inc","Griffith Energy Services,  Inc",Terminated,5/30/2014,5/7/2021,100 to 499,4,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grit Energy Services, Inc.",,Open,11/10/2017,,20 to 99,1,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groom Energy Solutions LLC,,Open,12/15/2015,,20 to 99,4,GA, MA, SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Growing Energy Labs, Inc",,Open,7/22/2015,,10 to 19,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Growth Energy,,Open,5/3/2021,,20 to 99,1,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gru Energy Lab, Inc.",,Open,8/15/2017,,10 to 19,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GS YUASA ENERGY SOLUTIONS, INC.",GS BATTERY (U.S.A.) INC.,Open,12/18/2012,,20 to 99,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guardian Energy Management Solutions,,Open,1/19/2023,,20 to 99,1,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guardian Energy Management Solutions LLC,,Open,2/11/2021,,20 to 99,1,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gulf Coast Energy of Sumter, LLC",,Open,10/12/2016,,20 to 99,1,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GULF SOUTH ENERGY SERVICES, LLC",,Open,3/19/2019,,20 to 99,2,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUNSMOKE ENERGY SERVICES LLC,,Terminated,12/4/2018,3/10/2019,20 to 99,1,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guttman Energy,,Open,1/20/2021,,100 to 499,1,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUZMAN ENERGY LLC,,Open,4/14/2015,,10 to 19,2,CO, FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H NU SOLAR LLC,HNU ENERGY,Open,11/8/2011,,20 to 99,3,AZ, CA, HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H Nu Solar, LLC",HNU Energy,Open,1/23/2017,,20 to 99,1,HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.M. Miller Sales Co Inc,Miller Energy Inc,Open,10/3/2014,,20 to 99,1,NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H2O Energy Support and Development, LLC",Hydro-Stat Industrial Services,Open,9/12/2011,,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hadley Energy Solutions,Hadley Energy Solutions,Open,7/6/2021,,10 to 19,1,KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadley energy solutions llc,,Open,8/22/2013,,5 to 9,1,KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hadley Energy Solutions LLC,,Terminated,8/22/2013,8/23/2013,5 to 9,1,KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HAJCO Timber Energy, LLC",HAJCO Timber Energy,Open,2/6/2020,,20 to 99,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton Well Service LLC,Hamilton Energy Group,Terminated,11/20/2015,5/14/2021,100 to 499,5,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamtramck Energy Services,,Open,2/24/2020,,20 to 99,1,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Han Mar Energy, Inc.",,Terminated,8/20/2013,5/2/2015,20 to 99,1,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Han Mar Energy, Inc.",,Terminated,7/2/2009,2/10/2013,10 to 19,1,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hankinson Renewable Energy, LLC",,Open,3/29/2012,,20 to 99,1,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanley Energy Electrical, LLC",,Open,10/27/2021,,20 to 99,2,OR, VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanley Energy Electrical, LLC",,Open,11/22/2022,,100 to 499,1,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanley Energy LLC,,Open,11/22/2022,,100 to 499,1,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanley Energy LLC,Hanley Energy LLC,Open,6/5/2020,,20 to 99,2,OR, VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HanMar Energy, Inc.",,Open,9/28/2007,,20 to 99,1,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanwha Energy USA Holdings Corporation,,Terminated,9/26/2019,2/3/2020,20 to 99,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARMAC ENERGY,,Open,5/19/2022,,20 to 99,1,NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harmac Energy,,Open,5/11/2022,,20 to 99,1,NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harness Energy LLC,,Open,6/12/2019,,10 to 19,1,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harness Energy, LLC",,Open,6/2/2015,,10 to 19,1,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hart Energy Publishing,,Open,11/6/2013,,100 to 499,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hart Energy Publishing,,Open,10/7/2010,,20 to 99,2,NY, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvest Energy Services Inc,,Terminated,12/17/2019,2/25/2022,100 to 499,1,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvest Energy Services Inc,,Open,12/28/2020,,100 to 499,1,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harvest Energy Services, Inc.",,Open,4/6/2018,,20 to 99,1,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harvest Energy Solutions, LLC",Harvest Solar,Open,8/9/2018,,20 to 99,1,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hastings Air Energy Control, In.c",,Open,11/27/2012,,20 to 99,1,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii Energy Systems,,Open,11/4/2015,,20 to 99,1,HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii Natural Energy Institute,,Open,2/25/2010,,20 to 99,1,HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HB Energy Solutions, Inc",,Open,7/21/2015,,20 to 99,1,VT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HBFMBG Energy Services, LLC",,Open,1/28/2015,,10 to 19,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCI Energy LLC,,Open,6/21/2022,,20 to 99,1,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCI Energy LLC,,Open,6/9/2020,,20 to 99,1,KS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HCS Renewable Energy, LLC",,Open,10/21/2022,,100 to 499,1,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Healthy Home Energy and Consulting, Inc.",,Open,11/16/2012,,5 to 9,1,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healthy Homes Energy LLC,,Open,8/27/2019,,5 to 9,1,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heaney Energy Corporation,,Open,6/11/2009,,20 to 99,1,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart River Logistics LLC,"Heart River Energy, LLC",Terminated,2/26/2019,5/12/2022,100 to 499,6,AR, LA, ND, OH, OK, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heartland Energy Partners,,Terminated,5/24/2013,7/3/2013,10 to 19,1,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heartland Energy Partners LLC,,Open,6/3/2013,,10 to 19,4,DC, MD, OK, VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heartland Energy Partners, LLC",Heartland Consulting,Open,8/9/2016,,100 to 499,1,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hecate Energy LLC,,Open,8/23/2021,,20 to 99,1,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hefner Energy Holdings,,Open,11/6/2017,,5 to 9,11,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heikkinen Energy Securities, LLC",,Open,11/28/2017,,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Helion Energy, Inc.",,Open,5/12/2022,,20 to 99,2,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Helion Energy, Inc.",,Open,10/28/2022,,100 to 499,1,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Helix Energy Solutions Group, Inc",,Terminated,3/28/2008,10/21/2020,500 to 999,4,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Helix Energy Solutions, Inc",,Terminated,11/17/2008,10/21/2020,500 to 999,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"hep energy USA holdings, Inc.",,Open,10/31/2022,,10 to 19,1,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"hep energy USA, LLC",,Open,1/22/2020,,5 to 9,1,ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"hep Peak Clean Energy, LLC",,Open,10/31/2022,,5 to 9,1,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hereford Renewable Energy, LLC",,Open,3/29/2012,,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heritage Operating L.P.,Northern Energy Propane,Open,3/14/2012,,10 to 19,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heron Lake BioEnergy, LLC",,Open,9/10/2020,,20 to 99,1,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heron Lake BioEnergy, LLC","Heron  Lake BioEnergy, LLC",Terminated,3/14/2011,11/15/2014,20 to 99,2,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI-NRG Gymnastics,High Energy Fitness Ltd.,Open,6/8/2022,,20 to 99,1,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HIGH ENERGY ADVENTURES, LLC",,Open,5/1/2018,,10 to 19,1,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Energy Corp,,Open,4/5/2021,,20 to 99,1,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Energy Pizza LLC,,Open,12/15/2016,,10 to 19,1,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Energy Pizza LLC,,Open,8/12/2021,,100 to 499,14,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"High Energy Positive Attitude Pizza, LLC.",,Open,12/8/2015,,10 to 19,1,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"High West Energy, Inc.","High West Energy, Inc.",Open,10/18/2010,,20 to 99,4,NE, WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hilcorp Energy Company,,Open,7/12/2011,,500 to 999,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hilcorp Energy Company,,Terminated,3/21/2019,3/22/2019,"1,000 to 2,499",1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
