Employer,Doing Business As,Account Status,Date Enrolled,Date Terminated,Workforce Size,Number of Hiring Sites,Hiring Site Locations (by state),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albireo Energy LLC,,Open,1/3/2017,,20 to 99,11,NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Albireo Energy, LLC",,Open,12/27/2022,,100 to 499,1,NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Albireo Energy, LLC",,Open,10/7/2020,,20 to 99,1,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alder Energy Systems, LLC",,Open,11/2/2017,,20 to 99,1,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Algae Energy, Inc.",,Open,1/9/2014,,10 to 19,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All HVAC Service CO., Inc.",Bright Energy Services,Open,4/17/2023,,20 to 99,1,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Tech Energy Inc,,Terminated,11/7/2007,5/7/2016,20 to 99,1,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All Tech Energy, Inc.","All Tech Energy, Inc.",Open,9/23/2019,,20 to 99,1,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allegheny Energy Federal Credit Union,,Open,7/29/2010,,5 to 9,1,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AllFacilities Energy Group, LLC",,Open,5/4/2012,,20 to 99,2,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alliance BioEnergy Plus, Inc.",,Open,9/22/2015,,5 to 9,2,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLIANCE ENERGY INDUSTRIES,,Open,3/21/2012,,5 to 9,2,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alliance Energy Service Co., LLC",,Open,1/10/2007,,20 to 99,1,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alliance for Cooperative Energy Services Power Marketing LLC,,Open,10/16/2014,,100 to 499,4,AZ, IN, MN, NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ALLIANCE FOR COOPERATIVE ENERGY SERVICES POWER MARKETING, LLC",,Open,11/23/2022,,100 to 499,1,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alliance for Cooperative Energy Services Power Marketing, LLC",,Terminated,4/18/2014,5/7/2021,100 to 499,4,AZ, IN, MN, NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alliance for Sustainable Energy, LLC",National Renewable Energy Laboratory,Open,9/29/2010,,"1,000 to 2,499",49,AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV,,,
Alliance to Save Energy,,Terminated,9/16/2009,8/13/2015,20 to 99,6,CA, DC, GA, NY, OH, TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alliance to Save Energy,,Open,4/4/2019,,20 to 99,1,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alliance To Save Energy,,Terminated,7/10/2015,3/15/2023,100 to 499,3,CA, DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alliant Energy Corporate Services, Inc",,Open,4/13/2022,,500 to 999,2,IA, WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alliant Energy Corporate Services, Inc.",,Terminated,10/2/2009,8/27/2021,"1,000 to 2,499",2,IA, WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
